Date,Open,High,Low,Close,Volume,Adj Close
2017-01-10,0.215,0.215,0.185,0.185,18000,0.185
2017-01-09,0.215,0.215,0.18,0.18,72000,0.18
2017-01-06,0.205,0.205,0.20,0.20,69000,0.20
2017-01-05,0.215,0.215,0.215,0.215,10500,0.215
2017-01-04,0.23,0.23,0.205,0.205,6000,0.205
2017-01-03,0.235,0.235,0.225,0.23,29900,0.23
2017-01-02,0.205,0.205,0.205,0.205,000,0.205
2016-12-30,0.22,0.245,0.205,0.205,101000,0.205
2016-12-29,0.22,0.22,0.22,0.22,15000,0.22
2016-12-28,0.25,0.25,0.22,0.22,25900,0.22
2016-12-27,0.25,0.25,0.25,0.25,000,0.25
2016-12-26,0.25,0.25,0.25,0.25,000,0.25
2016-12-23,0.225,0.25,0.225,0.25,33500,0.25
2016-12-22,0.22,0.225,0.22,0.225,8500,0.225
2016-12-21,0.235,0.235,0.235,0.235,000,0.235
2016-12-20,0.235,0.235,0.235,0.235,1000,0.235
2016-12-19,0.235,0.235,0.235,0.235,26000,0.235
2016-12-16,0.22,0.22,0.22,0.22,1000,0.22
2016-12-15,0.235,0.235,0.215,0.235,80200,0.235
2016-12-14,0.24,0.25,0.22,0.22,94500,0.22
2016-12-13,0.22,0.22,0.22,0.22,34000,0.22
2016-12-12,0.24,0.24,0.22,0.22,121000,0.22
2016-12-09,0.245,0.26,0.235,0.255,37000,0.255
2016-12-08,0.255,0.255,0.245,0.245,53000,0.245
2016-12-07,0.28,0.28,0.26,0.26,42500,0.26
2016-12-06,0.255,0.255,0.255,0.255,000,0.255
2016-12-05,0.26,0.26,0.245,0.255,5000,0.255
2016-12-02,0.255,0.26,0.255,0.26,20700,0.26
2016-12-01,0.26,0.27,0.26,0.26,40300,0.26
2016-11-30,0.265,0.265,0.255,0.255,314500,0.255
2016-11-29,0.265,0.265,0.25,0.265,116800,0.265
2016-11-28,0.28,0.28,0.265,0.265,26500,0.265
2016-11-25,0.28,0.28,0.26,0.28,186000,0.28
2016-11-24,0.28,0.29,0.27,0.29,51500,0.29
2016-11-23,0.27,0.31,0.265,0.29,154500,0.29
2016-11-22,0.29,0.29,0.27,0.27,97300,0.27
2016-11-21,0.30,0.31,0.29,0.29,86500,0.29
2016-11-18,0.25,0.33,0.25,0.30,539400,0.30
2016-11-17,0.24,0.25,0.235,0.25,130400,0.25
2016-11-16,0.24,0.25,0.24,0.25,137500,0.25
2016-11-15,0.24,0.24,0.24,0.24,9000,0.24
2016-11-14,0.24,0.24,0.22,0.24,75000,0.24
2016-11-11,0.24,0.24,0.23,0.24,118500,0.24
2016-11-10,0.23,0.25,0.23,0.24,124500,0.24
2016-11-09,0.23,0.23,0.23,0.23,000,0.23
2016-11-08,0.22,0.23,0.205,0.23,153000,0.23
2016-11-07,0.24,0.24,0.22,0.23,154200,0.23
2016-11-04,0.22,0.22,0.22,0.22,20500,0.22
2016-11-03,0.22,0.22,0.22,0.22,73200,0.22
2016-11-02,0.195,0.21,0.195,0.20,781000,0.20
2016-11-01,0.195,0.195,0.19,0.19,114000,0.19
2016-10-31,0.185,0.205,0.185,0.205,142000,0.205
2016-10-28,0.19,0.19,0.19,0.19,80200,0.19
2016-10-27,0.19,0.19,0.19,0.19,66000,0.19
2016-10-26,0.17,0.18,0.17,0.18,153300,0.18
2016-10-25,0.17,0.18,0.17,0.18,228000,0.18
2016-10-24,0.175,0.175,0.175,0.175,000,0.175
2016-10-21,0.18,0.18,0.175,0.175,322000,0.175
2016-10-20,0.17,0.17,0.17,0.17,100000,0.17
2016-10-19,0.17,0.175,0.17,0.17,310000,0.17
2016-10-18,0.17,0.17,0.155,0.17,1505000,0.17
2016-10-17,0.16,0.17,0.16,0.17,205000,0.17
2016-10-14,0.155,0.175,0.155,0.17,394700,0.17
2016-10-13,0.155,0.155,0.155,0.155,91000,0.155
2016-10-12,0.15,0.16,0.15,0.16,303000,0.16
2016-10-11,0.15,0.15,0.15,0.15,30000,0.15
2016-10-10,0.155,0.155,0.155,0.155,000,0.155
2016-10-07,0.15,0.155,0.15,0.155,90000,0.155
2016-10-06,0.15,0.15,0.15,0.15,32400,0.15
2016-10-05,0.13,0.13,0.13,0.13,000,0.13
2016-10-04,0.13,0.14,0.13,0.13,194500,0.13
2016-10-03,0.13,0.13,0.13,0.13,50500,0.13
2016-09-30,0.135,0.14,0.135,0.14,110000,0.14
2016-09-29,0.14,0.15,0.14,0.14,60000,0.14
2016-09-28,0.135,0.15,0.135,0.15,134000,0.15
2016-09-27,0.13,0.135,0.13,0.135,45500,0.135
2016-09-26,0.13,0.13,0.13,0.13,8000,0.13
2016-09-23,0.135,0.135,0.135,0.135,10000,0.135
2016-09-22,0.125,0.135,0.12,0.135,1269100,0.135
2016-09-21,0.135,0.135,0.135,0.135,20000,0.135
2016-09-20,0.105,0.105,0.105,0.105,15000,0.105
2016-09-19,0.14,0.14,0.135,0.135,14500,0.135
2016-09-16,0.14,0.14,0.14,0.14,500,0.14
2016-09-15,0.15,0.15,0.15,0.15,000,0.15
